AREA,pop_2015,pop_growth,road_motorway,road_asphalt,road_others,CO2_2022,CO2_recent_growth,built_2015,green_2014,GDP_2015,GDP_growth,heatwave,distance_sea,y_pred_dec,ID_HDC_G0,PCA1,PCA2
90.0,322329.2369,2.146446619210307,0.0,1242175.7355999998,33939.666,211868.2216796875,2.692598988516777,40.68242264,0.183910283,3158335744.0,0.8684799019039957,4.425849915,1825.4111736689115,4,20,6.9115314,-0.32632208
49.0,73006.67113,0.3266175491813516,23362.0872,728868.203,29323.9345,58871.04150390625,-0.8065459440502833,37.21602249,0.325405154,1898732800.0,1.0085887679211814,3.800590038,31925.17914542547,4,22,4.9004354,-2.733786
11.0,59087.88311,1.8106568042981053,706.1077,145773.1699,6877.9400000000005,16266.947875976562,2.692634245509332,3.658987761,0.212557882,409665856.0,0.3061150026895554,5.521949768,13669.424531682633,3,23,-0.31286526,1.3091774
114.0,199622.2104,0.1782841039147609,32341.7335,1376970.9992,35500.9293,246904.861328125,-0.8065463963666921,71.78395081,0.316168443,6775972352.0,0.8420531276792653,4.567830086,42336.162876316936,2,24,13.174013,-3.4360824
34.0,74611.72537,0.8167667813664847,19791.5547,521781.0436999999,3314.7501,34332.775390625,-0.8065467316469837,26.14744186,0.419812597,2396844288.0,1.5028194178838603,4.629179955,20633.696124674912,4,25,4.0556364,-1.9393601
166.0,268055.6356,0.8945386022819024,82221.97219999999,2057625.9212,40143.2344,1572154.578125,-0.8242886972595641,104.2041779,0.335976406,9873784832.0,1.543985904814793,7.754580021,3418.974700728849,2,26,16.39706,-7.1348715
40.0,93335.49432,0.3087283863344225,18542.6701,656519.2518,3425.169,49504.688720703125,-0.8072154372375869,31.67541504,0.386309122,3157856768.0,1.0015574746681022,4.986030102,13910.651745181089,4,27,6.333331,-1.5866823
49.0,91449.60626,1.8647567800046396,16532.7344,705646.3792,25306.0684,54912.16870117188,-0.80654598424544,35.95515823,0.335667005,3221034752.0,2.520395792553831,9.207719803,42240.25282133458,4,28,4.7912493,-2.1885061
34.0,76952.19238,0.3620303110926537,20075.2396,551796.5803,5164.6867,40617.53271484375,-0.8065462896097858,25.83078957,0.395443985,2309909504.0,1.0220705102027328,4.986030102,23320.118826574773,4,30,4.3654814,-1.9247415
20.0,70792.51758,2.1016979593196927,7876.7347,298478.0934,24794.9577,23833.97717285156,2.69263523684051,7.374708176,0.205105168,489203712.0,0.1349758286551594,4.574260235,49991.04561486044,0,31,-1.4502459,-0.579237
147.0,277181.2072,0.2055126501041337,24600.2095,1771052.2191,26442.9565,293093.056640625,-0.8065459066534475,99.03132629,0.247125702,9413058560.0,0.8533522323789899,6.145999908,79790.92057388485,2,32,21.80246,-1.8531637
32.0,61668.58715,1.851485727510616,28053.3971,444763.833,7400.1926,40174.627197265625,-0.8065463116376251,24.23267746,0.348484022,1788568448.0,2.509504228704551,11.42660046,56827.7563370999,4,33,1.0348177,-2.8868666
185.0,365617.9699,1.86066773387934,115345.9016,2374969.4051,79418.2173,396366.923828125,-0.8092924713946272,142.0906219,0.371861084,13534003200.0,2.50003831729253,9.537779808,43335.470360927946,2,34,22.519714,-6.153322
146.0,297123.3391,1.318625145909258,69799.0328,2120118.9172,19606.0323,291313.9296875,-0.8100452603806101,111.5295486,0.349890269,10473412608.0,1.9844032015856827,11.16409969,87403.56363364932,2,35,19.275894,-4.4979806
32.0,67104.15872,1.304412821713341,11259.0767,512323.6893,4166.8353,40038.05908203125,-0.806545292595922,23.91204071,0.348239262,1798877824.0,2.010091699786143,11.16409969,108354.50413270891,4,36,3.2378922,-1.5735607
128.0,231017.5027,3.4234065282811037,54776.0045,1740075.3028,51620.1257,204987.767578125,-0.8065466990968738,84.01544952,0.312512539,8211889152.0,4.071992705558336,3.306469917,44119.20870223864,2,37,11.691675,-4.826015
27.0,52276.76193,1.5475118326692128,8885.5281,379570.7369,2698.76,24545.175415039062,-0.8065466219365184,18.82415009,0.315038076,1637434112.0,2.218743140954249,8.047430038,170370.65034209634,4,38,2.2653503,-1.5370429
37.0,80014.16248,1.745430059296238,16511.050900000002,543004.9275999999,3169.6277,47260.82861328125,-0.8065452464932346,25.81415749,0.359615519,2502431232.0,2.5004531375744987,10.75739956,150025.34599866546,4,39,2.9170713,-2.0269136
28.0,72657.0899,1.6422584882220814,18713.5216,412971.3685,13129.9278,29499.97399902344,-0.8065455236399903,18.71538162,0.420997414,2183529984.0,2.168407790909699,6.958010197,48967.49390813835,4,40,1.4100647,-2.2924933
26.0,63293.69495,3.43272994889674,6949.488,307921.08680000005,7186.173,21693.43078613281,-0.8065463598330884,13.9107666,0.259491041,1785082752.0,4.167223288470412,6.580649853,62247.97029820098,0,41,-2.6192546,-1.6606052
30.0,68280.70651,1.856273242701856,14049.4774,458559.0342,5129.2582,37406.85400390625,-0.8075341029750027,24.68630028,0.361563764,2166090752.0,2.506852157037076,9.537779808,46178.54582620216,4,42,2.3775578,-1.9716415
37.0,186269.3191,7.436309338134994,0.0,571275.3812,19165.4045,110535.6416015625,2.692598490906617,14.41155624,0.215058256,2367859968.0,7.111082847489247,16.60029984,3355.5038010322173,0,43,-6.8460555,-2.2190387
28.0,64706.53668,1.948288112867691,15683.286,420208.1734000001,2475.5973000000004,28829.962158203125,-0.8065462318023144,20.61335373,0.343029794,2049015936.0,2.624202839158829,10.47669983,186620.5824936733,4,44,1.618125,-2.0961936
76.0,199002.5924,3.433347316639379,46979.4809,1012172.1191,5953.6909,150552.466796875,-0.8066466389407245,54.3415184,0.27929213,7223226880.0,4.086281360279487,6.580649853,70342.22067010304,4,45,6.853485,-3.4819067
26.0,51528.73746,1.6016853453268975,22728.7868,417011.1858,2107.3476,23359.162841796875,-0.80677168340602,20.14833832,0.336331658,1659771136.0,2.286829001561852,4.986030102,62859.14562071946,4,47,1.8824978,-2.3946207
72.0,117576.3356,1.7122895799462912,30992.9737,995935.2684,18241.6809,105938.4609375,-0.8069834680660113,50.23209381,0.315762422,4141723904.0,2.408707615780181,8.047430038,197389.70789190088,4,48,6.6728945,-3.170102
77.0,155147.2377,3.436538165417624,0.0,1007767.4018,4223.1737,83347.47802734375,-0.8065468952035738,49.90004349,0.270224348,5517732352.0,4.125984677724648,6.580649853,76311.85236402176,4,50,10.133604,0.004641056
29.0,57080.85864,1.720894840258902,13271.5169,348458.2744,3730.3379,30856.45617675781,-0.8065455647477687,17.01180077,0.310713709,1912310656.0,2.435959228907847,5.972239971,193426.83929164775,4,51,1.9245605,-1.8379924
